time,ds_id,lon,lat
8600,4,119.317413,24.01118
8600,4,119.619112,24.468768
8600,4,118.896255,23.952201
8608,4,119.606064,24.291127
8608,4,119.009494,24.812525
8608,4,118.740617,23.897424
8608,4,118.691863,24.41774
8608,4,118.990959,24.121406
8608,4,118.869307,23.996284
8608,4,118.498232,24.341858
8608,4,119.137883,24.006521
8608,4,119.635087,24.280261
8608,4,118.924679,24.009698
8608,4,118.916573,24.00183
8608,4,119.329281,24.760702
8608,4,119.349329,24.824708
8608,4,119.494833,24.66377
8608,4,119.248438,24.26352
8608,4,119.313603,24.009116
8608,4,119.619848,24.472788
8608,4,118.895551,23.953326
8608,4,119.718842,24.62247
8616,4,119.607063,24.291016
8616,4,119.008571,24.813079
8616,4,118.753372,23.896503
8616,4,118.693029,24.418727
8616,4,118.996652,24.123331
8616,4,118.870209,23.996525
8616,4,118.498095,24.342997
8616,4,119.131029,24.00346
8616,4,119.637597,24.282716
8616,4,118.926639,24.010307
8616,4,118.919071,24.002546
8616,4,119.347525,24.829648
8616,4,119.494195,24.666069
8616,4,119.246612,24.263597
8616,4,119.314697,24.009994
8616,4,119.61725,24.468812
8616,4,118.893701,23.95423
8616,4,119.716579,24.616598
8624,4,119.608129,24.290831
8624,4,119.007659,24.813361
8624,4,118.747776,23.895623
8624,4,118.995415,24.123093
8624,4,118.874031,23.997147
8624,4,118.502873,24.341725
8624,4,119.131774,24.003578
8624,4,118.845741,24.140029
8624,4,119.637877,24.281775
8624,4,118.923228,24.003325
8624,4,119.326651,24.762672
8624,4,119.346027,24.830601
8624,4,119.4929,24.664313
8624,4,119.248184,24.266467
8624,4,119.31637,24.011225
8624,4,119.618142,24.472898
8624,4,118.895938,23.955794
8624,4,119.715922,24.619471
8632,4,119.606809,24.287353
8632,4,119.007182,24.812558
8632,4,118.743905,23.894775
8632,4,118.694151,24.420905
8632,4,118.998482,24.124102
8632,4,118.872814,23.997117
8632,4,118.502511,24.342897
8632,4,119.136401,24.005462
8632,4,118.844183,24.140242
8632,4,119.635751,24.277157
8632,4,118.925255,24.010327
8632,4,118.920461,24.003013
8632,4,119.325375,24.759801
8632,4,119.345023,24.828072
8632,4,119.4916,24.662536
8632,4,119.24364,24.264131
8632,4,119.314634,24.010391
8632,4,119.617671,24.47441
8632,4,118.899385,23.957512
8632,4,119.713857,24.614369
8640,4,119.607351,24.286766
8640,4,119.006196,24.813411
8640,4,118.74426,23.893879
8640,4,118.694572,24.42198
8640,4,118.998655,24.124365
8640,4,118.501444,24.344521
8640,4,119.138595,24.006257
8640,4,118.847472,24.140918
8640,4,118.924138,24.003842
8640,4,119.324137,24.763047
8640,4,119.343814,24.827433
8640,4,119.490699,24.663558
8640,4,119.247132,24.268579
8640,4,119.616409,24.473443
8640,4,118.898698,23.958609
8640,4,119.713114,24.616819
8648,4,119.608604,24.286961
8648,4,119.005884,24.811335
8648,4,118.741039,23.892958
8648,4,118.999529,24.124872
8648,4,118.877078,23.997943
8648,4,118.505267,24.34373
8648,4,119.133764,24.004116
8648,4,118.852618,24.142015
8648,4,119.641788,24.283704
8648,4,118.932476,24.01208
8648,4,118.926192,24.004368
8648,4,119.342582,24.826512
8648,4,119.49007,24.665729
8648,4,119.243118,24.266758
8648,4,119.316131,24.01183
8648,4,119.618404,24.48071
8648,4,118.888357,23.958325
8648,4,119.710849,24.610325
8656,4,119.609784,24.287238
8656,4,119.004995,24.811863
8656,4,119.000035,24.125019
8656,4,118.878364,23.998192
8656,4,118.501422,24.346735
8656,4,119.140507,24.006816
8656,4,118.847407,24.141588
8656,4,119.642548,24.28348
8656,4,118.932745,24.012272
8656,4,118.930636,24.005395
8656,4,119.321637,24.762278
8656,4,119.341331,24.825853
8656,4,119.24504,24.269838
8656,4,119.308588,24.007331
8656,4,119.613232,24.470298
8656,4,118.89358,23.960348
8656,4,119.7109,24.616994
8656,4,118.755752,23.773261
8664,4,119.610567,24.286854
8664,4,119.004131,24.81254
8664,4,118.749016,23.891239
8664,4,118.697483,24.425082
8664,4,119.004096,24.126603
8664,4,118.504167,24.346484
8664,4,119.145714,24.008879
8664,4,118.850093,24.142213
8664,4,119.643474,24.283687
8664,4,118.933014,24.012467
8664,4,118.925114,24.004464
8664,4,119.320352,24.761832
8664,4,119.339897,24.827234
8664,4,119.487447,24.662668
8664,4,119.246969,24.272946
8664,4,119.305729,24.005752
8664,4,119.614136,24.474501
8664,4,119.709131,24.612536
8664,4,118.760672,23.77438
8672,4,119.003742,24.810749
8672,4,118.74393,23.890329
8672,4,118.697805,24.426186
8672,4,119.006223,24.127306
8672,4,118.882279,23.999036
8672,4,119.646568,24.287043
8672,4,118.931748,24.012368
8672,4,118.924967,24.004646
8672,4,119.31899,24.762653
8672,4,119.338326,24.829501
8672,4,119.486602,24.664361
8672,4,119.305326,24.005647
8672,4,119.614,24.476641
8672,4,118.892292,23.962525
8672,4,119.70805,24.613368
8680,4,119.609643,24.282488
8680,4,119.002757,24.811363
8680,4,118.739882,23.889511
8680,4,118.697894,24.427364
8680,4,119.003176,24.126429
8680,4,118.508604,24.346342
8680,4,119.136629,24.004729
8680,4,118.854503,24.143453
8680,4,118.93174,24.005971
8680,4,119.317817,24.76623
8680,4,119.337655,24.823384
8680,4,119.486433,24.669499
8680,4,119.241513,24.271514
8680,4,119.308953,24.00812
8680,4,119.613326,24.477026
8680,4,118.891467,23.96359
8680,4,119.70693,24.613349
8680,4,118.752495,23.776822
8688,4,119.610672,24.282433
8688,4,119.00178,24.812365
8688,4,119.00663,24.127733
